Start (Receiver) Program	Input	End (Donor) Program
Colorado	Polygonia gracilis	Cascades
Colorado	Polygonia zephrys	Cascades
Colorado	Celastrina ladon	Cascades
Colorado	Celastrina neglecta	Cascades
Florida	Celastrina ladon	Cascades
Florida	Celastrina neglecta	Cascades
Iowa	Celastrina ladon	Cascades
Illinois	Megisto cymela	Cascades
Illinois	Plebejus melissa	Cascades
Illinois	Celastrina ladon/neglecta	Cascades
Orange	Euphydryas chalcedona	Cascades
Orange	Celastrina ladon echo	Cascades
Michigan	Lycaeides melissa samuelis	Cascades
MPG	Celastrina echo	Cascades
MPG	Euphydryas colon	Cascades
Ohio	Lycaeides melissa samuelis	Cascades
Ohio	Celastrina ladon	Cascades
Ohio	Celastrina neglecta	Cascades
Colorado	Aglais milberti	Cascades
Colorado	Plebejus glandon	Cascades
Colorado	Adelpha eulalia	Cascades
Colorado	Satyrium semiluna	Cascades
Colorado	Anthocharis thoosa	Cascades
Colorado	Plebejus lupini lupini	Cascades
Colorado	Plebejus lupini texanus	Cascades
Colorado	Phyciodes cocyta	Cascades
Colorado	Papilio multicaudata	Cascades
Colorado	Satyrium acadica	Cascades
Florida	Pyrisitia lisa	Cascades
Iowa	Aglais milberti	Cascades
Iowa	Everes comyntas	Cascades
Iowa	Colias eurytheme	Cascades
Illinois	Eurema nicippe	Cascades
Illinois	Nymphalis milbertii	Cascades
Illinois	Nymphalis vaualbum	Cascades
Orange	Adelpha bredowii	Cascades
Orange	Euphilotes battoides	Cascades
Orange	Anthocharis sara	Cascades
Michigan	Phyciodes selenis/cocyta	Cascades
MPG	Aglais milberti	Cascades
MPG	Polygonia gracilis zephrys	Cascades
MPG	Phyciodes cocyta selenis	Cascades
MPG	Papilio multicaudatus	Cascades
Ohio	Nymphalis vau-album	Cascades
Ohio	Phyciodes selenis	Cascades
Tennessee	Abaeis nicippe	Cascades
MPG	Euphilotes "battoides"	Cascades
MPG	Anthocharis sara	Cascades
Cascades	Polygonia gracilis	Colorado
Cascades	Celastrina echo	Colorado
Cascades	Celastrina lucia	Colorado
Cascades	Agriades glandon	Colorado
Cascades	Adelpha californica	Colorado
Cascades	Satyrium fulginosum semiluna	Colorado
Cascades	Anthocharis sara	Colorado
Cascades	Cercyonis sthenele	Colorado
Cascades	Plebejus lupini	Colorado
Cascades	Hesperia colorado	Colorado
Florida	Celastrina ladon	Colorado
Florida	Celastrina neglecta	Colorado
Iowa	Celastrina ladon	Colorado
Illinois	Celastrina ladon/neglecta	Colorado
